SCAN REPORT FOR: https://www.meta.ai/media
DATE: 27/01/2026, 22:37:13
=================================================================================
TYPE | TAG | ID | CLASS | ROLE | ARIA-LABEL | TEXT | XPATH
[VISIBLE] | feBlend | ID:- | CLASS:- | ROLE:- | ARIA:- | TEXT:"" | XPATH://*[@id="filter0_f_1_53"]/feBlend[1]
[VISIBLE] | feGaussianBlur | ID:- | CLASS:- | ROLE:- | ARIA:- | TEXT:"" | XPATH://*[@id="filter0_f_1_53"]/feGaussianBlur[1]
[VISIBLE] | filter | ID:filter1_f_1_53 | CLASS:- | ROLE:- | ARIA:- | TEXT:"" | XPATH://*[@id="filter1_f_1_53"]
[VISIBLE] | feFlood | ID:- | CLASS:- | ROLE:- | ARIA:- | TEXT:"" | XPATH://*[@id="filter1_f_1_53"]/feFlood[1]
[VISIBLE] | feBlend | ID:- | CLASS:- | ROLE:- | ARIA:- | TEXT:"" | XPATH://*[@id="filter1_f_1_53"]/feBlend[1]
[VISIBLE] | feGaussianBlur | ID:- | CLASS:- | ROLE:- | ARIA:- | TEXT:"" | XPATH://*[@id="filter1_f_1_53"]/feGaussianBlur[1]
[VISIBLE] | filter | ID:filter2_f_1_53 | CLASS:- | ROLE:- | ARIA:- | TEXT:"" | XPATH://*[@id="filter2_f_1_53"]
[VISIBLE] | feFlood | ID:- | CLASS:- | ROLE:- | ARIA:- | TEXT:"" | XPATH://*[@id="filter2_f_1_53"]/feFlood[1]
[VISIBLE] | feBlend | ID:- | CLASS:- | ROLE:- | ARIA:- | TEXT:"" | XPATH://*[@id="filter2_f_1_53"]/feBlend[1]
[VISIBLE] | feGaussianBlur | ID:- | CLASS:- | ROLE:- | ARIA:- | TEXT:"" | XPATH://*[@id="filter2_f_1_53"]/feGaussianBlur[1]
[VISIBLE] | filter | ID:filter3_f_1_53 | CLASS:- | ROLE:- | ARIA:- | TEXT:"" | XPATH://*[@id="filter3_f_1_53"]
[VISIBLE] | feFlood | ID:- | CLASS:- | ROLE:- | ARIA:- | TEXT:"" | XPATH://*[@id="filter3_f_1_53"]/feFlood[1]
[VISIBLE] | feBlend | ID:- | CLASS:- | ROLE:- | ARIA:- | TEXT:"" | XPATH://*[@id="filter3_f_1_53"]/feBlend[1]
[VISIBLE] | feGaussianBlur | ID:- | CLASS:- | ROLE:- | ARIA:- | TEXT:"" | XPATH://*[@id="filter3_f_1_53"]/feGaussianBlur[1]
[VISIBLE] | filter | ID:filter4_f_1_53 | CLASS:- | ROLE:- | ARIA:- | TEXT:"" | XPATH://*[@id="filter4_f_1_53"]
[VISIBLE] | feFlood | ID:- | CLASS:- | ROLE:- | ARIA:- | TEXT:"" | XPATH://*[@id="filter4_f_1_53"]/feFlood[1]
[VISIBLE] | feBlend | ID:- | CLASS:- | ROLE:- | ARIA:- | TEXT:"" | XPATH://*[@id="filter4_f_1_53"]/feBlend[1]
[VISIBLE] | feGaussianBlur | ID:- | CLASS:- | ROLE:- | ARIA:- | TEXT:"" | XPATH://*[@id="filter4_f_1_53"]/feGaussianBlur[1]
[VISIBLE] | filter | ID:filter5_f_1_53 | CLASS:- | ROLE:- | ARIA:- | TEXT:"" | XPATH://*[@id="filter5_f_1_53"]
[VISIBLE] | feFlood | ID:- | CLASS:- | ROLE:- | ARIA:- | TEXT:"" | XPATH://*[@id="filter5_f_1_53"]/feFlood[1]
[VISIBLE] | feBlend | ID:- | CLASS:- | ROLE:- | ARIA:- | TEXT:"" | XPATH://*[@id="filter5_f_1_53"]/feBlend[1]
[VISIBLE] | feGaussianBlur | ID:- | CLASS:- | ROLE:- | ARIA:- | TEXT:"" | XPATH://*[@id="filter5_f_1_53"]/feGaussianBlur[1]
[VISIBLE] | clipPath | ID:clip0_1_53 | CLASS:- | ROLE:- | ARIA:- | TEXT:"" | XPATH://*[@id="clip0_1_53"]
[VISIBLE] | rect | ID:- | CLASS:- | ROLE:- | ARIA:- | TEXT:"" | XPATH://*[@id="clip0_1_53"]/rect[1]
[VISIBLE] | clipPath | ID:clip1_1_53 | CLASS:- | ROLE:- | ARIA:- | TEXT:"" | XPATH://*[@id="clip1_1_53"]
[VISIBLE] | rect | ID:- | CLASS:- | ROLE:- | ARIA:- | TEXT:"" | XPATH://*[@id="clip1_1_53"]/rect[1]
[HIDDEN] | svg | ID:- | CLASS:- | ROLE:- | ARIA:- | TEXT:"" | XPATH:BODY/DIV[2]/DIV[2]/DIV[1]/DIV[2]/DIV[1]/DIV[1]/BUTTON[1]/svg[2]
[VISIBLE] | path | ID:- | CLASS:- | ROLE:- | ARIA:- | TEXT:"" | XPATH:BODY/DIV[2]/DIV[2]/DIV[1]/DIV[2]/DIV[1]/DIV[1]/BUTTON[1]/svg[2]/path[1]
[VISIBLE] | path | ID:- | CLASS:- | ROLE:- | ARIA:- | TEXT:"" | XPATH:BODY/DIV[2]/DIV[2]/DIV[1]/DIV[2]/DIV[1]/DIV[1]/BUTTON[1]/svg[2]/path[2]
[VISIBLE] | DIV | ID:- | CLASS:contents | ROLE:- | ARIA:- | TEXT:"" | XPATH:BODY/DIV[2]/DIV[2]/DIV[1]/DIV[2]/DIV[1]/DIV[1]/DIV[1]
[VISIBLE] | BUTTON | ID:- | CLASS:enabled:active:scale-98.inline-flex.shrink-0.cursor-pointer.items-center.justify-center.rounded-full.focus:not-focus-visible:outline-none.transition-transform.duration-150.ease-in-out.disabled:cursor-not-allowed.disabled:opacity-50.select-none.size-8.hover:enabled:bg-fill-secondary-elevated.enabled:active:filter-[brightness(0.965)].dark:enabled:active:filter-[brightness(0.9)].rtl:-scale-x-100.-outline-offset-2.text-text-secondary.absolute.end-4 | ROLE:- | ARIA:Toggle Sidebar | TEXT:"" | XPATH:BODY/DIV[2]/DIV[2]/DIV[1]/DIV[2]/DIV[1]/DIV[1]/DIV[1]/BUTTON[1]
[VISIBLE] | svg | ID:- | CLASS:- | ROLE:- | ARIA:- | TEXT:"" | XPATH:BODY/DIV[2]/DIV[2]/DIV[1]/DIV[2]/DIV[1]/DIV[1]/DIV[1]/BUTTON[1]/svg[1]
[VISIBLE] | path | ID:- | CLASS:- | ROLE:- | ARIA:- | TEXT:"" | XPATH:BODY/DIV[2]/DIV[2]/DIV[1]/DIV[2]/DIV[1]/DIV[1]/DIV[1]/BUTTON[1]/svg[1]/path[1]
[VISIBLE] | path | ID:- | CLASS:- | ROLE:- | ARIA:- | TEXT:"" | XPATH:BODY/DIV[2]/DIV[2]/DIV[1]/DIV[2]/DIV[1]/DIV[1]/DIV[1]/BUTTON[1]/svg[1]/path[2]
[VISIBLE] | DIV | ID:- | CLASS:min-h-0.min-w-0.flex.flex-col.gap-x-6.gap-y-6.grow.ps-3.pe-1.pt-2 | ROLE:- | ARIA:- | TEXT:"New chat Ctrl+Shift+O Search Ctrl+K Vibes Create H" | XPATH:BODY/DIV[2]/DIV[2]/DIV[1]/DIV[2]/DIV[1]/DIV[2]
[VISIBLE] | DIV | ID:- | CLASS:min-h-0.flex.flex-col.w-full.min-w-0.bg-bg-sidebar.relative.z-10.shrink-0.pe-2 | ROLE:- | ARIA:- | TEXT:"New chat Ctrl+Shift+O Search Ctrl+K Vibes Create" | XPATH:BODY/DIV[2]/DIV[2]/DIV[1]/DIV[2]/DIV[1]/DIV[2]/DIV[1]
[VISIBLE] | DIV | ID:- | CLASS:text-subheadline.mt-px.w-full | ROLE:- | ARIA:- | TEXT:"New chat Ctrl+Shift+O Search Ctrl+K Vibes Create" | XPATH:BODY/DIV[2]/DIV[2]/DIV[1]/DIV[2]/DIV[1]/DIV[2]/DIV[1]/DIV[1]
[VISIBLE] | UL | ID:- | CLASS:flex.w-full.min-w-0.flex-col.gap-px | ROLE:- | ARIA:- | TEXT:"New chat Ctrl+Shift+O Search Ctrl+K Vibes Create" | XPATH:BODY/DIV[2]/DIV[2]/DIV[1]/DIV[2]/DIV[1]/DIV[2]/DIV[1]/DIV[1]/UL[1]
[VISIBLE] | LI | ID:- | CLASS:group/menu-item.relative | ROLE:- | ARIA:- | TEXT:"New chat Ctrl+Shift+O" | XPATH:BODY/DIV[2]/DIV[2]/DIV[1]/DIV[2]/DIV[1]/DIV[2]/DIV[1]/DIV[1]/UL[1]/LI[1]
[VISIBLE] | BUTTON | ID:- | CLASS:peer/menu-button.group-hover/menu-item:bg-fill-secondary-elevated.group-has-focus-visible/menu-item:bg-fill-secondary-elevated.group-data-[menu-open=true]/menu-item:bg-fill-secondary-elevated.active:bg-fill-secondary-elevated.data-[active=true]:bg-fill-secondary-elevated.text-subheadline.data-[active=true]:text-subheadline-medium.data-[state=open]:hover:bg-fill-secondary-elevated.data-[state=open]:hover:text-text-primary.flex.h-8.w-full.cursor-pointer.items-center.gap-1.5.overflow-hidden.rounded-xl.py-1.5.text-start.select-none.-outline-offset-2.ps-1.pe-3 | ROLE:- | ARIA:- | TEXT:"New chat Ctrl+Shift+O" | XPATH:BODY/DIV[2]/DIV[2]/DIV[1]/DIV[2]/DIV[1]/DIV[2]/DIV[1]/DIV[1]/UL[1]/LI[1]/BUTTON[1]
[VISIBLE] | DIV | ID:- | CLASS:relative.inline-block.shrink-0 | ROLE:- | ARIA:- | TEXT:"" | XPATH:BODY/DIV[2]/DIV[2]/DIV[1]/DIV[2]/DIV[1]/DIV[2]/DIV[1]/DIV[1]/UL[1]/LI[1]/BUTTON[1]/DIV[1]
[HIDDEN] | svg | ID:- | CLASS:- | ROLE:- | ARIA:- | TEXT:"" | XPATH:BODY/DIV[2]/DIV[2]/DIV[1]/DIV[2]/DIV[1]/DIV[2]/DIV[1]/DIV[1]/UL[1]/LI[1]/BUTTON[1]/DIV[1]/svg[1]
[HIDDEN] | path | ID:- | CLASS:- | ROLE:- | ARIA:- | TEXT:"" | XPATH:BODY/DIV[2]/DIV[2]/DIV[1]/DIV[2]/DIV[1]/DIV[2]/DIV[1]/DIV[1]/UL[1]/LI[1]/BUTTON[1]/DIV[1]/svg[1]/path[1]
[HIDDEN] | path | ID:- | CLASS:- | ROLE:- | ARIA:- | TEXT:"" | XPATH:BODY/DIV[2]/DIV[2]/DIV[1]/DIV[2]/DIV[1]/DIV[2]/DIV[1]/DIV[1]/UL[1]/LI[1]/BUTTON[1]/DIV[1]/svg[1]/path[2]
[VISIBLE] | DIV | ID:- | CLASS:absolute.start-0.top-0 | ROLE:- | ARIA:- | TEXT:"" | XPATH:BODY/DIV[2]/DIV[2]/DIV[1]/DIV[2]/DIV[1]/DIV[2]/DIV[1]/DIV[1]/UL[1]/LI[1]/BUTTON[1]/DIV[1]/DIV[1]
[VISIBLE] | DIV | ID:- | CLASS:- | ROLE:- | ARIA:- | TEXT:"" | XPATH:BODY/DIV[2]/DIV[2]/DIV[1]/DIV[2]/DIV[1]/DIV[2]/DIV[1]/DIV[1]/UL[1]/LI[1]/BUTTON[1]/DIV[1]/DIV[1]/DIV[1]
[VISIBLE] | CANVAS | ID:- | CLASS:- | ROLE:- | ARIA:- | TEXT:"" | XPATH:BODY/DIV[2]/DIV[2]/DIV[1]/DIV[2]/DIV[1]/DIV[2]/DIV[1]/DIV[1]/UL[1]/LI[1]/BUTTON[1]/DIV[1]/DIV[1]/DIV[1]/CANVAS[1]
[VISIBLE] | SPAN | ID:- | CLASS:min-w-0.flex-1.truncate | ROLE:- | ARIA:- | TEXT:"New chat" | XPATH:BODY/DIV[2]/DIV[2]/DIV[1]/DIV[2]/DIV[1]/DIV[2]/DIV[1]/DIV[1]/UL[1]/LI[1]/BUTTON[1]/SPAN[1]
[VISIBLE] | SPAN | ID:- | CLASS:text-text-tertiary.shrink-0 | ROLE:- | ARIA:- | TEXT:"Ctrl+Shift+O" | XPATH:BODY/DIV[2]/DIV[2]/DIV[1]/DIV[2]/DIV[1]/DIV[2]/DIV[1]/DIV[1]/UL[1]/LI[1]/BUTTON[1]/SPAN[2]
[VISIBLE] | LI | ID:- | CLASS:group/menu-item.relative | ROLE:- | ARIA:- | TEXT:"Search Ctrl+K" | XPATH:BODY/DIV[2]/DIV[2]/DIV[1]/DIV[2]/DIV[1]/DIV[2]/DIV[1]/DIV[1]/UL[1]/LI[2]
[VISIBLE] | BUTTON | ID:- | CLASS:peer/menu-button.group-hover/menu-item:bg-fill-secondary-elevated.group-has-focus-visible/menu-item:bg-fill-secondary-elevated.group-data-[menu-open=true]/menu-item:bg-fill-secondary-elevated.active:bg-fill-secondary-elevated.data-[active=true]:bg-fill-secondary-elevated.text-subheadline.data-[active=true]:text-subheadline-medium.data-[state=open]:hover:bg-fill-secondary-elevated.data-[state=open]:hover:text-text-primary.flex.h-8.w-full.cursor-pointer.items-center.gap-1.5.overflow-hidden.rounded-xl.py-1.5.text-start.select-none.-outline-offset-2.ps-1.pe-3 | ROLE:- | ARIA:- | TEXT:"Search Ctrl+K" | XPATH:BODY/DIV[2]/DIV[2]/DIV[1]/DIV[2]/DIV[1]/DIV[2]/DIV[1]/DIV[1]/UL[1]/LI[2]/BUTTON[1]
[VISIBLE] | DIV | ID:- | CLASS:relative.inline-block.shrink-0 | ROLE:- | ARIA:- | TEXT:"" | XPATH:BODY/DIV[2]/DIV[2]/DIV[1]/DIV[2]/DIV[1]/DIV[2]/DIV[1]/DIV[1]/UL[1]/LI[2]/BUTTON[1]/DIV[1]
[HIDDEN] | svg | ID:- | CLASS:- | ROLE:- | ARIA:- | TEXT:"" | XPATH:BODY/DIV[2]/DIV[2]/DIV[1]/DIV[2]/DIV[1]/DIV[2]/DIV[1]/DIV[1]/UL[1]/LI[2]/BUTTON[1]/DIV[1]/svg[1]
[HIDDEN] | path | ID:- | CLASS:- | ROLE:- | ARIA:- | TEXT:"" | XPATH:BODY/DIV[2]/DIV[2]/DIV[1]/DIV[2]/DIV[1]/DIV[2]/DIV[1]/DIV[1]/UL[1]/LI[2]/BUTTON[1]/DIV[1]/svg[1]/path[1]
[VISIBLE] | DIV | ID:- | CLASS:absolute.start-0.top-0 | ROLE:- | ARIA:- | TEXT:"" | XPATH:BODY/DIV[2]/DIV[2]/DIV[1]/DIV[2]/DIV[1]/DIV[2]/DIV[1]/DIV[1]/UL[1]/LI[2]/BUTTON[1]/DIV[1]/DIV[1]
[VISIBLE] | DIV | ID:- | CLASS:- | ROLE:- | ARIA:- | TEXT:"" | XPATH:BODY/DIV[2]/DIV[2]/DIV[1]/DIV[2]/DIV[1]/DIV[2]/DIV[1]/DIV[1]/UL[1]/LI[2]/BUTTON[1]/DIV[1]/DIV[1]/DIV[1]
[VISIBLE] | CANVAS | ID:- | CLASS:- | ROLE:- | ARIA:- | TEXT:"" | XPATH:BODY/DIV[2]/DIV[2]/DIV[1]/DIV[2]/DIV[1]/DIV[2]/DIV[1]/DIV[1]/UL[1]/LI[2]/BUTTON[1]/DIV[1]/DIV[1]/DIV[1]/CANVAS[1]
[VISIBLE] | SPAN | ID:- | CLASS:min-w-0.flex-1.truncate | ROLE:- | ARIA:- | TEXT:"Search" | XPATH:BODY/DIV[2]/DIV[2]/DIV[1]/DIV[2]/DIV[1]/DIV[2]/DIV[1]/DIV[1]/UL[1]/LI[2]/BUTTON[1]/SPAN[1]
[VISIBLE] | SPAN | ID:- | CLASS:text-text-tertiary.shrink-0 | ROLE:- | ARIA:- | TEXT:"Ctrl+K" | XPATH:BODY/DIV[2]/DIV[2]/DIV[1]/DIV[2]/DIV[1]/DIV[2]/DIV[1]/DIV[1]/UL[1]/LI[2]/BUTTON[1]/SPAN[2]
[VISIBLE] | LI | ID:- | CLASS:group/menu-item.relative | ROLE:- | ARIA:- | TEXT:"Vibes" | XPATH:BODY/DIV[2]/DIV[2]/DIV[1]/DIV[2]/DIV[1]/DIV[2]/DIV[1]/DIV[1]/UL[1]/LI[3]
[VISIBLE] | BUTTON | ID:- | CLASS:peer/menu-button.group-hover/menu-item:bg-fill-secondary-elevated.group-has-focus-visible/menu-item:bg-fill-secondary-elevated.group-data-[menu-open=true]/menu-item:bg-fill-secondary-elevated.active:bg-fill-secondary-elevated.data-[active=true]:bg-fill-secondary-elevated.text-subheadline.data-[active=true]:text-subheadline-medium.data-[state=open]:hover:bg-fill-secondary-elevated.data-[state=open]:hover:text-text-primary.flex.h-8.w-full.cursor-pointer.items-center.gap-1.5.overflow-hidden.rounded-xl.py-1.5.text-start.select-none.-outline-offset-2.ps-1.pe-3 | ROLE:- | ARIA:- | TEXT:"Vibes" | XPATH:BODY/DIV[2]/DIV[2]/DIV[1]/DIV[2]/DIV[1]/DIV[2]/DIV[1]/DIV[1]/UL[1]/LI[3]/BUTTON[1]
[VISIBLE] | DIV | ID:- | CLASS:relative.inline-block.shrink-0 | ROLE:- | ARIA:- | TEXT:"" | XPATH:BODY/DIV[2]/DIV[2]/DIV[1]/DIV[2]/DIV[1]/DIV[2]/DIV[1]/DIV[1]/UL[1]/LI[3]/BUTTON[1]/DIV[1]
[HIDDEN] | svg | ID:- | CLASS:- | ROLE:- | ARIA:- | TEXT:"" | XPATH:BODY/DIV[2]/DIV[2]/DIV[1]/DIV[2]/DIV[1]/DIV[2]/DIV[1]/DIV[1]/UL[1]/LI[3]/BUTTON[1]/DIV[1]/svg[1]
[HIDDEN] | rect | ID:- | CLASS:- | ROLE:- | ARIA:- | TEXT:"" | XPATH:BODY/DIV[2]/DIV[2]/DIV[1]/DIV[2]/DIV[1]/DIV[2]/DIV[1]/DIV[1]/UL[1]/LI[3]/BUTTON[1]/DIV[1]/svg[1]/rect[1]
[HIDDEN] | path | ID:- | CLASS:- | ROLE:- | ARIA:- | TEXT:"" | XPATH:BODY/DIV[2]/DIV[2]/DIV[1]/DIV[2]/DIV[1]/DIV[2]/DIV[1]/DIV[1]/UL[1]/LI[3]/BUTTON[1]/DIV[1]/svg[1]/path[1]
[VISIBLE] | DIV | ID:- | CLASS:absolute.start-0.top-0 | ROLE:- | ARIA:- | TEXT:"" | XPATH:BODY/DIV[2]/DIV[2]/DIV[1]/DIV[2]/DIV[1]/DIV[2]/DIV[1]/DIV[1]/UL[1]/LI[3]/BUTTON[1]/DIV[1]/DIV[1]
[VISIBLE] | DIV | ID:- | CLASS:- | ROLE:- | ARIA:- | TEXT:"" | XPATH:BODY/DIV[2]/DIV[2]/DIV[1]/DIV[2]/DIV[1]/DIV[2]/DIV[1]/DIV[1]/UL[1]/LI[3]/BUTTON[1]/DIV[1]/DIV[1]/DIV[1]
[VISIBLE] | CANVAS | ID:- | CLASS:- | ROLE:- | ARIA:- | TEXT:"" | XPATH:BODY/DIV[2]/DIV[2]/DIV[1]/DIV[2]/DIV[1]/DIV[2]/DIV[1]/DIV[1]/UL[1]/LI[3]/BUTTON[1]/DIV[1]/DIV[1]/DIV[1]/CANVAS[1]
[VISIBLE] | SPAN | ID:- | CLASS:min-w-0.flex-1.truncate | ROLE:- | ARIA:- | TEXT:"Vibes" | XPATH:BODY/DIV[2]/DIV[2]/DIV[1]/DIV[2]/DIV[1]/DIV[2]/DIV[1]/DIV[1]/UL[1]/LI[3]/BUTTON[1]/SPAN[1]
[VISIBLE] | LI | ID:- | CLASS:group/menu-item.relative | ROLE:- | ARIA:- | TEXT:"Create" | XPATH:BODY/DIV[2]/DIV[2]/DIV[1]/DIV[2]/DIV[1]/DIV[2]/DIV[1]/DIV[1]/UL[1]/LI[4]
